Enter the filename to read from: nhlstats.txt

Name            Position      Team      GP       G       A     PIM     SOG     GWG       P     P/G     PCT
Moulson         LW             NYI      47      15      29       4     154       0      44   00.94   09.74
Stepan          C              NYR      48      18      26      12     108       6      44   00.92   16.67
Kadri           C              TOR      48      18      26      23     107       1      44   00.92   16.82
Sedin           C              VAN      48      11      34      24      70       1      45   00.94   15.71
Ladd            LW             WPG      48      18      28      22     121       4      46   00.96   14.88
Voracek         RW             PHI      48      22      24      35     129       3      46   00.96   17.05
Tavares         C              NYI      48      28      19      18     162       5      47   00.98   17.28
Backstrom       C              WSH      48       8      40      20      82       1      48   01.00   09.76
Zetterberg      C              DET      46      11      37      18     173       5      48   01.04   06.36
Giroux          C              PHI      48      13      35      22     137       2      48   01.00   09.49
Toews           C              CHI      47      23      25      27     143       5      48   01.02   16.08
Ribeiro         C              WSH      48      13      36      53      63       1      49   01.02   20.63
Datsyuk         C              DET      47      15      34      14     107       6      49   01.04   14.02
Getzlaf         C              ANA      44      15      34      41      99       3      49   01.11   15.15
Hall            LW             EDM      45      16      34      33     154       4      50   01.11   10.39
Kessel          RW             TOR      48      20      32      18     161       4      52   01.08   12.42
Kunitz          LW             PIT      48      22      30      39     113       5      52   01.08   19.47
Staal           C              CAR      48      18      35      54     152       4      53   01.10   11.84
Kane            RW             CHI      47      23      32       8     138       3      55   01.17   16.67
Crosby          C              PIT      36      15      41      16     124       1      56   01.56   12.10
Ovechkin        RW             WSH      48      32      24      36     220       4      56   01.17   14.55
Stamkos         C               TB      48      29      28      32     157       2      57   01.19   18.47
St.Louis        RW              TB      48      17      43      14     112       2      60   01.25   15.18

Players with highest points and their teams:
St.Louis - TB

Most aggressive players, their teams and their positions:
Clowe - NYR - RW
Ott - BUF - C

Most valuable players and their teams:
Carter - LA

Most promising players and their teams:
Ovechkin - WSH

Teams that had the most number of penalty minutes:
BOS

Teams that had the most number of game winning goals:
PIT

Teams that had the least number of game winning goals:
FLA

Total number of comparisons done by the program:
1872
